@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 {0,1,2,3}

@data
1,'2016/04/11 13:12:03:673',1,0,0,1308.520142,0,0,0,0,1
2,'2016/04/11 13:12:03:828',1,0,0,1313.681885,0,0,0,0,1
3,'2016/04/11 13:12:03:991',1,0,0,1313.202148,0,0,0,0,1
4,'2016/04/11 13:12:04:140',1,0,0,1312.05835,0,0,0,0,1
5,'2016/04/11 13:12:04:286',1,0,0,1314.583618,0,0,0,0,1
6,'2016/04/11 13:12:04:434',1,0,0,1312.66333,0,0,0,0,1
7,'2016/04/11 13:12:04:586',1,0,0,1315.965088,0,0,0,0,1
8,'2016/04/11 13:12:04:742',1,0,0,1314.522339,0,0,0,0,1
9,'2016/04/11 13:12:04:892',1,0,0,1314.224121,0,0,0,0,1
10,'2016/04/11 13:12:05:045',1,0,0,1311.217041,0,0,0,0,1
11,'2016/04/11 13:12:05:209',1,0,0,1312.05835,0,0,0,0,1
12,'2016/04/11 13:12:05:361',1,0,0,1312.899902,0,0,0,0,1
13,'2016/04/11 13:12:05:523',1,0,0,1310.978638,0,0,0,0,1
14,'2016/04/11 13:12:10:881',2,0,0,0,0,0,0,0,2
15,'2016/04/11 13:12:11:030',2,0,0,0,0,0,0,0,2
16,'2016/04/11 13:12:11:178',2,0,0,0,0,0,0,0,2
17,'2016/04/11 13:12:11:324',2,0,0,0,0,0,0,0,2
18,'2016/04/11 13:12:11:478',2,0,0,0,0,0,0,0,2
19,'2016/04/11 13:12:11:626',2,0,0,0,0,0,0,0,2
20,'2016/04/11 13:12:11:778',2,0,0,0,0,0,0,0,2
21,'2016/04/11 13:12:11:930',2,0,0,0,0,0,0,0,2
22,'2016/04/11 13:12:12:080',2,0,0,0,0,0,0,0,2
23,'2016/04/11 13:12:12:227',2,0,0,588.510803,0,0,0,0,2
24,'2016/04/11 13:12:12:381',2,0,0,0,0,0,0,0,2
25,'2016/04/11 13:12:12:531',2,0,0,0,0,0,0,0,2
26,'2016/04/11 13:12:12:675',2,0,0,418.019135,0,0,0,0,2
27,'2016/04/11 13:12:12:826',2,0,0,0,0,0,0,0,2
28,'2016/04/11 13:12:12:977',2,0,0,0,0,0,0,0,2
29,'2016/04/11 13:12:13:129',2,0,0,0,0,0,0,0,2
30,'2016/04/11 13:12:13:285',2,0,0,0,0,0,0,0,2
31,'2016/04/11 13:12:13:441',2,0,0,1046.900146,0,0,0,0,2
32,'2016/04/11 13:12:13:603',2,0,0,1084.734985,0,0,0,0,2
33,'2016/04/11 13:12:13:753',2,0,0,0,0,0,0,0,2
34,'2016/04/11 13:12:13:902',2,0,0,551.071655,0,0,0,0,2
35,'2016/04/11 13:12:14:054',2,0,0,0,0,0,0,0,2
36,'2016/04/11 13:12:14:199',2,0,0,0,0,0,0,0,2
